movie,type,word,seconds,minutes
Reservoir Dogs,word,dick,0.4,0
Reservoir Dogs,word,dicks,0.43,0
Reservoir Dogs,word,fucked,0.55,0
Reservoir Dogs,word,fucking,0.61,0
Reservoir Dogs,word,bullshit,0.61,0
Reservoir Dogs,word,fuck,0.66,0
Reservoir Dogs,word,shit,0.9,0
Reservoir Dogs,word,fuck,1.43,1
Reservoir Dogs,word,dicks,1.56,1
Reservoir Dogs,word,fuck,1.66,1
Reservoir Dogs,word,dick,1.75,1
Reservoir Dogs,word,dick,1.75,1
Reservoir Dogs,word,dick,1.75,1
Reservoir Dogs,word,dick,1.75,1
Reservoir Dogs,word,dick,1.75,1
Reservoir Dogs,word,dick,1.75,1
Reservoir Dogs,word,dick,1.75,1
Reservoir Dogs,word,dicks,1.75,1
Reservoir Dogs,word,motherfucker,1.83,1
Reservoir Dogs,word,dick,1.96,1
Reservoir Dogs,word,pussy,2.15,2
Reservoir Dogs,word,fucks,2.18,2
Reservoir Dogs,word,fuck,2.3,2
Reservoir Dogs,word,fucking,2.45,2
Reservoir Dogs,word,hell,2.48,2
Reservoir Dogs,word,fucking,2.51,2
Reservoir Dogs,word,fucking,2.81,2
Reservoir Dogs,word,dick,2.86,2
Reservoir Dogs,word,jap,2.93,2
Reservoir Dogs,word,fuck,3.05,3
Reservoir Dogs,word,shit,3.2,3
Reservoir Dogs,word,fucking,3.4,3
Reservoir Dogs,word,fucking,3.55,3
Reservoir Dogs,word,fucking,3.7,3
Reservoir Dogs,word,motherfucker,3.93,3
Reservoir Dogs,word,motherfucker,3.98,3
Reservoir Dogs,word,shit,4.35,4
Reservoir Dogs,word,shit,4.76,4
Reservoir Dogs,word,fucking,4.86,4
Reservoir Dogs,word,dick,5.25,5
Reservoir Dogs,word,fucking,5.41,5
Reservoir Dogs,word,fucking,5.51,5
Reservoir Dogs,word,fucking,5.55,5
Reservoir Dogs,word,fucking,5.61,5
Reservoir Dogs,word,bullshit,6.23,6
Reservoir Dogs,word,fuck,6.46,6
Reservoir Dogs,word,fucked,6.58,6
Reservoir Dogs,word,fucks,6.66,6
Reservoir Dogs,word,bullshit,6.81,6
Reservoir Dogs,word,fucking,6.86,6
Reservoir Dogs,word,fucking,6.73,6
Reservoir Dogs,word,bastard,7.38,7
Reservoir Dogs,word,goddamn,7.41,7
Reservoir Dogs,word,goddamn,7.58,7
Reservoir Dogs,word,shit,9.63,9
Reservoir Dogs,word,fucking,9.96,9
Reservoir Dogs,word,shit,10.01,10
Reservoir Dogs,word,fucking,10.08,10
Reservoir Dogs,word,shit,10.26,10
Reservoir Dogs,word,goddamn,11.13,11
Reservoir Dogs,word,fucking,11.13,11
Reservoir Dogs,word,fucking,11.85,11
Reservoir Dogs,word,fucking,12.06,12
Reservoir Dogs,word,fucking,12.08,12
Reservoir Dogs,word,fucking,12.43,12
Reservoir Dogs,word,fucking,12.45,12
Reservoir Dogs,word,fucking,12.9,12
Reservoir Dogs,word,fucking,13.73,13
Reservoir Dogs,word,fuck,14.38,14
Reservoir Dogs,word,fucking,14.66,14
Reservoir Dogs,word,fucking,14.95,14
Reservoir Dogs,word,fucking,15.38,15
Reservoir Dogs,word,fucking,15.41,15
Reservoir Dogs,word,shit,15.45,15
Reservoir Dogs,word,fuck,15.51,15
Reservoir Dogs,word,fuck,15.65,15
Reservoir Dogs,word,fucking,15.75,15
Reservoir Dogs,word,fucked,15.86,15
Reservoir Dogs,word,fucked,15.88,15
Reservoir Dogs,word,fucked,15.93,15
Reservoir Dogs,word,fuck,16.45,16
Reservoir Dogs,word,motherfuckers,16.6,16
Reservoir Dogs,word,fucking,16.65,16
Reservoir Dogs,word,fuck,16.75,16
Reservoir Dogs,word,fucking,16.86,16
Reservoir Dogs,word,fucking,17.56,17
Reservoir Dogs,word,fuck,17.63,17
Reservoir Dogs,word,fucking,17.75,17
Reservoir Dogs,word,fucking,17.95,17
Reservoir Dogs,word,fucking,18,18
Reservoir Dogs,word,shit,20.13,20
Reservoir Dogs,word,fucking,20.16,20
Reservoir Dogs,word,fuck,20.68,20
Reservoir Dogs,word,fuck,20.73,20
Reservoir Dogs,word,fuck,20.93,20
Reservoir Dogs,word,fucking,20.96,20
Reservoir Dogs,word,asshole,20.98,20
Reservoir Dogs,word,fuck,21,21
Reservoir Dogs,word,fucking,21.01,21
Reservoir Dogs,word,fuck,21.2,21
Reservoir Dogs,word,fucking,22.18,22
Reservoir Dogs,word,fuck,22.21,22
Reservoir Dogs,word,motherfucker,22.46,22
Reservoir Dogs,word,fuck,22.6,22
Reservoir Dogs,word,goddamn,22.71,22
Reservoir Dogs,word,ass,22.8,22
Reservoir Dogs,word,fuck,23,23
Reservoir Dogs,word,fucking,23.2,23
Reservoir Dogs,word,assholes,23.35,23
Reservoir Dogs,word,fucking,24.01,24
Reservoir Dogs,word,fuck,24.05,24
Reservoir Dogs,word,fucking,24.6,24
Reservoir Dogs,word,fuck,24.66,24
Reservoir Dogs,word,fucking,24.76,24
Reservoir Dogs,word,fucking,25.13,25
Reservoir Dogs,word,shit,25.35,25
Reservoir Dogs,word,fuck,25.45,25
Reservoir Dogs,word,fucking,25.75,25
Reservoir Dogs,word,bullshit,25.76,25
Reservoir Dogs,word,fucking,26.01,26
Reservoir Dogs,word,fucking,26.06,26
Reservoir Dogs,word,fucking,26.16,26
Reservoir Dogs,word,fucking,26.26,26
Reservoir Dogs,word,hell,27.21,27
Reservoir Dogs,word,shit,28.6,28
Reservoir Dogs,word,fucking,28.6,28
Reservoir Dogs,word,fucking,28.83,28
Reservoir Dogs,word,shit,28.83,28
Reservoir Dogs,word,shit,29.16,29
Reservoir Dogs,word,hell,29.18,29
Reservoir Dogs,word,fucking,31.13,31
Reservoir Dogs,word,fuck,31.5,31
Reservoir Dogs,word,fucking,31.6,31
Reservoir Dogs,word,fuck,31.8,31
Reservoir Dogs,word,fuck,31.81,31
Reservoir Dogs,word,fucking,31.88,31
Reservoir Dogs,word,hell,32.11,32
Reservoir Dogs,word,fucking,32.43,32
Reservoir Dogs,word,fuck,32.55,32
Reservoir Dogs,word,fucking,32.58,32
Reservoir Dogs,word,shit,32.6,32
Reservoir Dogs,word,fuck,32.63,32
Reservoir Dogs,word,fucking,32.7,32
Reservoir Dogs,word,shit,32.91,32
Reservoir Dogs,word,asshole,33.76,33
Reservoir Dogs,word,shit,33.81,33
Reservoir Dogs,word,fucking,33.9,33
Reservoir Dogs,word,fucking,34.3,34
Reservoir Dogs,word,fuck,34.38,34
Reservoir Dogs,word,fucking,34.46,34
Reservoir Dogs,word,fucking,34.56,34
Reservoir Dogs,word,fucking,34.6,34
Reservoir Dogs,word,fuck,34.71,34
Reservoir Dogs,word,fucking,34.75,34
Reservoir Dogs,word,fuck,34.85,34
Reservoir Dogs,word,asshole,34.98,34
Reservoir Dogs,word,assholes,35.48,35
Reservoir Dogs,word,fuck,35.5,35
Reservoir Dogs,word,fucking,35.6,35
